Nazwa,Telefon,Adres,"Godziny otwarcia","Strona internetowa","Opinia 1","Opinia 2","Opinia 3","Opinia 4","Opinia 5","Opinia 6",Typ,"Wysokość cen",Latitude,Longitude
"SWAROVSKI BOUTIQUE Zlote Tarasy","22 222 06 31","Złota 59, 00-120 Warszawa, Polska","poniedziałek: 09:00–22:00, wtorek: 09:00–22:00, środa: 09:00–22:00, czwartek: 09:00–22:00, piątek: 09:00–22:00, sobota: 09:00–22:00, niedziela: Zamknięte",http://www.swarovski.com/,"Bardzo dziękuje za cudowna obsługę! pani Aleksandra jest cudowną przychylna osobą. Dziękuje ❤️","Pani Aleksandra była niezwykle pomocna! Takiej obsługi życzę w każdym salonie, pani Aleksandra jest wzorem do naśladowania :) bardzo profesjonalnie do mnie podeszła, pomogła. Ma ogromną wiedzę produktową i potrafi doradzić. A najważniejsze jest to, że uśmiech nie schodzi jej z twarzy! Bardzo polecam","Nie zdarzyło mi się nigdy wystawić oceny dla sklepu, ale obsługa Swarovski Złote Tarasy na to zasługuje. Profesjonalizm na najwyższym poziomie, zostałam sprawnie obsłużona, bez zbędnych komplikacji. Moja reklamacja została rozpatrzona od ręki, byłam bardzo zadowolona. Salon i firma wyróżnia się zdecydowanie na tle konkurencji. Obsługiwała mnie p. Agata. Pozdrawiam!",,,,"jewelry_store, store, point_of_interest, establishment",,52.2301084,21.0026871
"Tous Jewelry","662 131 642","Wołoska 12, 02-675 Warszawa, Polska","poniedziałek: 10:00–22:00, wtorek: 10:00–22:00, środa: 10:00–22:00, czwartek: 10:00–22:00, piątek: 10:00–22:00, sobota: 10:00–22:00, niedziela: Zamknięte",https://www.tous.com/pl-pl/?utm_campaign=local_seo&utm_content=f524c37a-b917-4e5a-b3fa-bdf6fee5cefc&utm_medium=organic&utm_source=google_gmb,"W dniu dzisiejszym zakupiłam torebkę w salonie Tousa w Galerii Mokotów. Obsługa na 5+! Przemiłe i pomocne Panie! Trafić na tak sympatyczną obsługę to naprawdę rzadkość. Polecam serdecznie!",,,,,,"jewelry_store, store, point_of_interest, establishment",,52.1796889,21.0040809
"HERMITAGE BOUTIQUE","22 323 76 76","plac Marszałka Józefa Piłsudskiego 1, 00-078 Warszawa, Polska","poniedziałek: 11:00–19:00, wtorek: 11:00–19:00, środa: 11:00–19:00, czwartek: 11:00–19:00, piątek: 11:00–19:00, sobota: 11:00–19:00, niedziela: Zamknięte",http://www.hermitage.pl/,"Bardzo pomocna ale nienachalna obsługa, duży wybór biżuterii i zegarków. Jako jedyni mają biżuterię Bulgari, której szukałem. Nie musiałem zamawiać rozmiaru, był od razu na stanie. Polecam.","Z klasą. Dobry poziom obsługi","Bardzo szeroki wybór wszelkich świecidełek w dobrej cenie, ale serio, tutaj nie cena jest najważniejsza.",,,,"jewelry_store, store, point_of_interest, establishment",,52.2421337,21.012878
"SWAROVSKI BOUTIQUE Arkadia","22 166 10 66","al. Jana Pawła II 82, 00-175 Warszawa, Polska","poniedziałek: 10:00–22:00, wtorek: 10:00–22:00, środa: 10:00–22:00, czwartek: 10:00–22:00, piątek: 10:00–22:00, sobota: 10:00–22:00, niedziela: Zamknięte",https://www.swarovski.com/en-PL/,"Zgubiłam cyrkonię z mojej ulubionej zawieszki, przemiła uśmiechnięta obsługa od razu zaproponowała wymianę na nowy.jestem bardzo miłe zaskoczona, super sprawny i przyjazny sklep i serwis, polecam serdecznie","Bardzo dziękuje Pani Anecie ze sklepu Swarowski w Arkadii w Warszawie za przesympatyczną i profesjonalną obsługę w dn. 5/11, godz 15.24 (zakończenie transakcji). Dzięki zaangażowaniu Pani Anety w obsłużeniu mnie/ nas, oraz cierpliwości do mnie (dość wymagającej klientki) zrobiłam zakupy pięknej biżuterii, choć weszłam do sklepu tylko by popatrzeć. Gratuluję Państwu takiego pracownika i dziękuję Pani Aneto za ten super Service. Pozdrawiam Wanda Lutosławska i Małgorzata Różańska","Bardzo przemiła obsługa, ale tutaj muszę głównie wyróżnić Panią Danutke, która jest tak ciepłą i otwartą osobą że po rozmowie aż dzień zrobił się lepszy. Bardzo mi pomogła z pierścionkiem dla dziewczyny za co dziękuję i jak tylko będę w Warszawie to Panią odwiedzę! I coś u was znowu kupię! Pozdrawiam😁",,,,"jewelry_store, point_of_interest, store, establishment",4,52.2564423,20.9842179
"DETOX DESIGN - biżuteria autorska","606 899 772","Dobra 13, 00-384 Warszawa, Polska","poniedziałek: 11:00–19:00, wtorek: 11:00–19:00, środa: 11:00–19:00, czwartek: 11:00–19:00, piątek: 11:00–19:00, sobota: 11:00–14:00, niedziela: Zamknięte",https://www.detoxdesign.pl/,"Nietuzinkowa biżuteria tworzona z pasją. Wspaniali, piękni i ciekawi ludzie. Klimatyczny butik w cudownym miejscu. Warto zajrzeć tylko po to, by tam być. No ale kupić coś też warto.","Niesamowity sklep z nietuzinkową biżuterią! Można znaleźć tu prawdziwe perełki w industrialnym stylu, które sprawdzą się zarówno na co dzień, jak i przy bardziej oficjalnych wyjściach (i często będzie to jedna i ta sama rzecz!). Biżuteria jest nieoczywista, intrygująca, ale przy tym nienachalna. Szczególnie przyciągają akcesoria, które można nosić na kilka różnych sposobów (różne długości, sposoby zapięcia, zamiennie jako bransoletkę albo naszyjnik). Twórcy są absolutnie przemili i bardzo pomocni (również jeśli chodzi o ew. dopasowanie rozmiaru biżuterii), sama wizyta w sklepie to gwarancja ciekawie spędzonego czasu - miłej rozmowy, opowieści o procesie tworzenia, zainteresowania klientem. Polecam każdemu, kto lubi wyróżniać się w tłumie :-)","To jest moja wymarzona biżuteria! Mam już całkiem sporą kolekcję i ciągle chcę więcej. Już zamówiłam kolejne kolczyki i nie mogę się  ich doczekać! Kiedyś nie nosiłam żadnych ozdób, a teraz nie potrafię wyjść bez moich ulubionych kolczyków Detoxdesign!. Dziękuję !!! Magia Waszego Butiku przyciąga!  Polecam wszystkim! Podążajcie za Detoxdesign!","Nareszcie znalazłam """"swoją"""" biżuterię. Zwracającą na siebie uwagę subtelną ale intrygującą i spójną formą. Prostota ale nieoczywistość zastosowań. A jako wartość dodaną otrzymałam przemile spędzony czas w sklepie, z nietuzinkowymi, szczerze zainteresowanymi kupującą Właścicielami a zarazem Autorami biżuterii. Takie spotkania pozostają w pamięci. Polecam przez duże P.","Bardzo, bardzo polecam :) miejsce ma niesamowicie przyjazny klimat. Właściciele super mili i pomocni! Biżuteria nietuzinkowa, wyjątkowa, w swoim rodzaju, niesztampowa, z charakterem a co najważniejsze wykonana z sercem i pasją! Zarówno miejsce i biżuteria wyjątkowe :):):)",,"jewelry_store, clothing_store, store, point_of_interest, establishment",,52.237128,21.029533
"Des Arte","22 826 44 66","Nowy Świat 48, 00-363 Warszawa, Polska","poniedziałek: 11:00–19:00, wtorek: 11:00–19:00, środa: 11:00–19:00, czwartek: 11:00–19:00, piątek: 11:00–19:00, sobota: 11:00–16:00, niedziela: Zamknięte",http://desarte.pl/,"Unikalne,przepiękne wyroby jubilerskie. Odwiedzam to miejsce od kilku lat i zawsze znajduję coś unikalnego do kupienia. Personel doradza,jak zawsze"""" w punkt"""". Najwyższy poziom. Dziękuję bardzo!!","kupienie żonie biżuterii to najlepsza inwestycja. a stara biżuteria daje jej poczucie wyjątkowości. tu jest największy wybór w mieście","Mój ostatni kontakt z Desą dotyczył zakupu pięknej złotej, emaliowanej broszki w kształcie okazałego pawia, która po zawieszeniu na łańcuszku staje się również wisiorkiem. Przechodząc Nowym Światem, jak zawsze, wstąpiłem do Desy, można sobie tam obejrzeć wiele interesujących i pięknych przedmiotów sztuki złotniczej i jubilerskiej, dawnej biżuterii """"z duszą"""". Z miejsca zostałem oczarowany tym złotym pawiem i spontanicznie zdecydowałem się podjąć próbę dokonania jego zakupu, tu, teraz i natychmiast, dla mojej Żony na zbliżającą się 37mą rocznicę ślubu. Miałem to szczęście, że zajęła się mną Pani Zuzanna, od tej chwili wszystko dokonało się jakby samo, do tego szybko, miło i nawet dość łagodnie od strony finansowej, jednym słowem wyjątkowo profesjonalnie i z dużym zrozumieniem moich potrzeb, wymagań i możliwości, a ja, już po raz kolejny, nabyłem wyjątkową biżuterię, która urzekła obdarowaną w dniu 37mej rocznicy ślubu. Wiem od dawna, od zawsze, że do Desy należy zaglądać, kiedy to jest tylko możliwe, zawsze jest coś do obejrzenia i można o tym interesująco porozmawiać, a jeśli się trafi na coś, co wpadnie szczególnie w oko, to można wyjść z czymś, co na długie lata będzie budziło miłe wspomnienia, wspomnienia momentu samego zakupu, ale też okazji, dla której został dokonany, jak i radości sprawionej osobie obdarowanej, tak jak mnie się to zdarzyło, nie pierwszy już raz. Andrzej Wrzesiński","Unikatowa bizuteria. Fachowe doradztwo. Ceny rozne w zaleznosci od wyceny. Okresowo organizowane sa aukcje",,,"jewelry_store, home_goods_store, store, point_of_interest, establishment",,52.2348049,21.0189358
PANDORA,"539 098 792","C.H. Galeria Mokotów, Wołoska 12, 02-675 Warszawa, Polska","poniedziałek: 10:00–22:00, wtorek: 10:00–22:00, środa: 10:00–22:00, czwartek: 10:00–22:00, piątek: 10:00–22:00, sobota: 10:00–22:00, niedziela: 10:00–21:00",https://pl.pandora.net/pl/,"Bardzo dziękuję przemiłej Pani Paulinie lub Karolinie, niestety zapomniałam imienia! :( Która pomimo plakietki """"Uczę się"""" była bardzo profesjonalną konsultantką, z wielką cierpliwością do niezdecydowanej Klientki. Pozdrawiam serdecznie! 🩷",,,,,,"jewelry_store, store, point_of_interest, establishment",,52.1795755,21.003864
"Orczyk. Autorska biżuteria","697 916 282","Wejście na tyłach budynku, (proszę nie wchodzić w podwórko, Augusta Cieszkowskiego 1/Lok 33, 01-636 Warszawa, Polska","poniedziałek: 13:00–20:00, wtorek: 13:00–20:00, środa: 13:00–20:00, czwartek: 13:00–20:00, piątek: 13:00–20:00, sobota: Zamknięte, niedziela: Zamknięte",https://www.jubiler.expert/,"Pan Wojciech wykonał w przewidzianym czasie przepiękny pierścionek zaręczynowy na indywidualne zamówienie, omówiwszy szczegółowo możliwości jego przygotowania (w tym rodzaje i rozmiary kamieni) oraz przedstawiwszy dokładny model komputerowy. Po ponad pół roku od zaręczyn pierścionek niezmiennie zachwyca, a dobrej jakości materiały pozostają w znakomitym stanie. Usługi pana Wojciecha polecam zdecydowanie każdemu, szczególnie chętnym zamówić biżuterię według własnego pomysłu lub z nieco wyższej półki cenowej.","Fantastyczna współpraca. Pierścionek wykonany na indywidualne zamówienie 🤩 Duże zaangażowanie w projekt ze strony Pana Orczyka 👍 Wszystkie detale wspólnie uzgodnione na różnych etapach realizacji zamówienia. Doskonały kontakt w trakcie, na bieżąco informacje o postępach prac 💪 Zdecydowanie czuć indywidualne podejście do tematu i klienta! 😁","Jesteśmy bardzo zadowoleni, że mamy obrączki zrobione lokalnie. Bardzo miły kontakt, wszystkie pytania odpowiedziane, obrączki zrobione zgodnie z harmonogramem czasowym przeszły nasze oczekiwania. Nosimy je z ogromną przyjemnością. Polecamy także ze względu na rozsądną cenę, przez co chętnie zostawiliśmy pieniądze blisko domu.","Wraz z mężem dostaliśmy obrączki ślubne po babci, pan Orczyk nam dopasował rozmiar, pięknie wyczyścił i dodał nowy grawer zachowując przy tym stary pamiątkowy. Obsługa była profesjonalna, sprawna a cena niewygórowana.","Serdecznie polecamy usługi Pana Wojciecha. Profesjonalizm, elastyczność i zawsze miła atmosfera! ;)",,"jewelry_store, store, point_of_interest, establishment",,52.2713288,20.981445
"Amber Jewellery III s.c. Suchodolska D., Matusiak F.","12 422 13 59","plac Mariacki 9, 31-042 Kraków, Polska","poniedziałek: 10:00–18:30, wtorek: 10:00–18:30, środa: 10:00–18:30, czwartek: 10:00–18:30, piątek: 10:00–18:30, sobota: 10:00–18:30, niedziela: 12:00–18:30",,,,,,,,"jewelry_store, store, point_of_interest, establishment",,50.0613172,19.9388942
Pandora,"692 431 220","C.H. Galeria Krakowska, Pawia 5, 31-154 Kraków, Polska","poniedziałek: 09:00–22:00, wtorek: 09:00–22:00, środa: 09:00–22:00, czwartek: 09:00–22:00, piątek: 09:00–22:00, sobota: 09:00–22:00, niedziela: Zamknięte",https://pl.pandora.net/pl/,"Przemiła i przepomocna obsługa, nieczęsto jest się w sklepie tak ciepło przyjętym! Wahałam się nad zakupem, ale Pani Wiktoria doradziła mi, w jakim rozmiarze pierścionek kupić :) Bardzo polecam sklep w Galerii Krakowskiej!!","Polecam sklep, na samym wejściu Panie uśmiechnięte i pomocne jeśli chodzi o asortyment mega wybór !!!","Świetna obsługa pełen profesjonalizm w doradzeniu kupna",,,,"jewelry_store, point_of_interest, store, establishment",,50.0667542,19.9455671
Tous,"797 702 436","CH Galeria Krakowska, Pawia 5, 31-154 Kraków, Polska","poniedziałek: 09:00–22:00, wtorek: 09:00–22:00, środa: 09:00–22:00, czwartek: 09:00–22:00, piątek: 09:00–22:00, sobota: 09:00–22:00, niedziela: 10:00–21:00",http://touspolska.pl/,"Piekna biżuteria, niezwykle miła obsługa, zwłaszcza pani Martyna. Dziękuje za pomoc! 🩷","Bardzo miła i pomocna obsługa. Polecam:)",,,,,"jewelry_store, store, point_of_interest, establishment",,50.067381,19.9459161
W.KRUK,"661 980 540","Pawia 5, 31-154 Kraków, Polska","poniedziałek: 09:00–22:00, wtorek: 09:00–22:00, środa: 09:00–22:00, czwartek: 09:00–22:00, piątek: 09:00–22:00, sobota: 09:00–22:00, niedziela: 10:00–21:00",https://wkruk.pl/salon-krakalw-2,"Bardzo solidni, pomocni, kompetentni i profesjonalni Pracownicy obsługi, pomogą, doradzą. Asortyment -wysoka półka, jest też dostęp w razie potrzeby do super serwisu. Warto tutaj zrobić zakupy!",,,,,,"jewelry_store, store, point_of_interest, establishment",,50.0680831,19.9460283
"BORUNI S.C.","693 024 040","Grodzka 60, 31-044 Kraków, Polska","poniedziałek: 09:00–21:00, wtorek: 09:00–21:00, środa: 09:00–21:00, czwartek: 09:00–21:00, piątek: 09:00–21:00, sobota: 09:00–21:00, niedziela: 09:00–21:00",http://www.boruni.pl/,"Super bardzo polecam ,  obsługa BDB miła atmosfera panie bardzo sympatyczne super wyroby jeszcze raz polecam i pozdrawiam.","Przemiła i cierpliwa obsługa, pomimo mego niezdecydowania",Ok,Super,,,"jewelry_store, store, point_of_interest, establishment",,50.0554517,19.9385552
"RING ME. Pięknie się składa.","504 248 755","Podgórska 34, 31-536 Kraków, Polska","poniedziałek: 10:00–21:00, wtorek: 10:00–21:00, środa: 10:00–21:00, czwartek: 10:00–21:00, piątek: 10:00–21:00, sobota: 10:00–21:00, niedziela: 10:00–20:00",,"Wyjątkowa, przepiękna biżuteria, bardzo dobry kontakt ze Sprzedającym, atrakcyjne ceny, wszystko super, bardzo polecam!","Fantastyczna zabawa, polecam!",,,,,"jewelry_store, point_of_interest, store, establishment",,50.0537685,19.9555899
